family,m,method,n,mean_TVE_percent,median_TVE_percent,p95_TVE_percent,bootstrap95_low_percent,bootstrap95_high_percent,mean_angle_RMSE_deg,mean_magnitude_RMSE,mean_coverage95
M2_MACHINE,1.5,B1,20,0.025034834768890627,0.01631871288555585,0.06892057603146712,0.01486857610956077,0.03632952998479032,0.021851653355163668,0.00013359417358362643,
M2_MACHINE,1.5,B2,20,0.024157898693215763,0.014744467715861366,0.06756022536808007,0.012919537721671943,0.036119309455456355,0.017997341785229135,0.00011381086443901247,0.9986529599432826
M2_MACHINE,1.5,B2-U2,20,0.024157898693215763,0.014744467715861366,0.06756022536808007,0.013710522383975082,0.036316749500657636,0.017997341785229135,0.00011381086443901247,0.5914214817440623
M3_GOVERNOR,0.0,B1,20,0.02507320094178474,0.016357611537189072,0.06901577140927462,0.014493390177654447,0.03647353603981226,0.021938294860167386,0.00013391547165712467,
M3_GOVERNOR,0.0,B2,20,0.024157922182724122,0.014744044384083058,0.06755875786478666,0.013438119099722486,0.03586864121564099,0.017994827501700398,0.00011402029983922059,0.9986529599432826
M3_GOVERNOR,0.0,B2-U2,20,0.024157922182724122,0.014744044384083058,0.06755875786478666,0.0131677045849421,0.03587937628513067,0.017994827501700398,0.00011402029983922059,0.5914569301666075
M3_GOVERNOR,0.25,B1,20,0.02507940425082656,0.01636242604599544,0.06903285121408877,0.013917479344065472,0.036442104918024104,0.021952671080153655,0.000133963014823197,
M3_GOVERNOR,0.25,B2,20,0.02415754005638364,0.01474387045725761,0.06755716990556215,0.012899529100243924,0.034650029248362184,0.017994116677803575,0.00011405075806657567,0.9986529599432826
M3_GOVERNOR,0.25,B2-U2,20,0.02415754005638364,0.01474387045725761,0.06755716990556215,0.013666522470526682,0.03561859816059494,0.017994116677803575,0.00011405075806657567,0.5914923785891527
M3_GOVERNOR,0.5,B1,20,0.025085007595811008,0.01636677041118777,0.06904828136843609,0.014758176801741189,0.03688303428195293,0.02196566143712244,0.00013400592832772454,
M3_GOVERNOR,0.5,B2,20,0.024157193335030774,0.014743712530420517,0.06755573214312051,0.012207426135045362,0.03610688957332908,0.017993473822429353,0.00011407829161292198,0.9986529599432826
M3_GOVERNOR,0.5,B2-U2,20,0.024157193335030774,0.014743712530420517,0.06755573214312051,0.013683161646685824,0.035342900575718365,0.017993473822429353,0.00011407829161292198,0.5914746543778802
M3_GOVERNOR,0.75,B1,20,0.025090088102646752,0.016370705509397194,0.06906227376168823,0.01438360165183002,0.036231079793124094,0.02197744348169201,0.00013404481067474098,
M3_GOVERNOR,0.75,B2,20,0.024156877546925595,0.014743568615580011,0.06755442532347002,0.013397282235314995,0.03537824726598008,0.017992890211553262,0.00011410327146761194,0.9986529599432826
M3_GOVERNOR,0.75,B2-U2,20,0.024156877546925595,0.014743568615580011,0.06755442532347002,0.0134161223156803,0.035606129573930494,0.017992890211553262,0.00011410327146761194,0.5914746543778802
M3_GOVERNOR,1.0,B1,20,0.025094710562454915,0.016374282435858763,0.06907500642030225,0.014362171075018646,0.03751474090282112,0.021988166469090655,0.00013408016425157758,
M3_GOVERNOR,1.0,B2,20,0.024156588929820498,0.014743437053713403,0.06755323317382839,0.013472039580570812,0.03514265500404982,0.017992358518324765,0.00011412601022579856,0.9986529599432826
M3_GOVERNOR,1.0,B2-U2,20,0.024156588929820498,0.014743437053713403,0.06755323317382839,0.012495974714358673,0.03629475135891433,0.017992358518324765,0.00011412601022579856,0.5914923785891528
M3_GOVERNOR,1.25,B1,20,0.025098929785231053,0.01637754438959359,0.06908662993303051,0.013472064554090852,0.03687677912631698,0.021997956735276762,0.0001341124136636014,
M3_GOVERNOR,1.25,B2,20,0.024156324303643176,0.014743316401136651,0.06755214206813187,0.012728075164425269,0.035361882481533505,0.017991872548867603,0.00011414677312974202,0.9986529599432826
M3_GOVERNOR,1.25,B2-U2,20,0.024156324303643176,0.014743316401136651,0.06755214206813187,0.012667615557202373,0.035417052179955666,0.017991872548867603,0.00011414677312974202,0.5915101028004254
M3_GOVERNOR,1.5,B1,20,0.025102792425073024,0.016380528076718276,0.0690972725068679,0.014675837041532079,0.03684661474582239,0.022006921874699974,0.00013414192008361894,
M3_GOVERNOR,1.5,B2,20,0.024156080965208573,0.014743205458041888,0.06755114039907585,0.012707850976426642,0.0366148417136099,0.017991427045175125,0.00011416578661402727,0.9986529599432826
M3_GOVERNOR,1.5,B2-U2,20,0.024156080965208573,0.014743205458041888,0.06755114039907585,0.013648727917086795,0.036338439395222126,0.017991427045175125,0.00011416578661402727,0.5915101028004254
M4_AVR,0.0,B1,20,0.02507320094178474,0.016357611537189072,0.06901577140927462,0.014183169640740961,0.03631569548428571,0.021938294860167386,0.00013391547165712467,
M4_AVR,0.0,B2,20,0.024157922182724122,0.014744044384083058,0.06755875786478666,0.013375831234585215,0.035642576096396913,0.017994827501700398,0.00011402029983922059,0.9986529599432826
M4_AVR,0.0,B2-U2,20,0.024157922182724122,0.014744044384083058,0.06755875786478666,0.013141744558228185,0.03582797654112034,0.017994827501700398,0.00011402029983922059,0.5914569301666075
