split,case_id,family,m,seed,excitation,method,policy,window,cadence,TVE_fraction,TVE_percent,angle_RMSE_deg,magnitude_RMSE,complex_RMSE,p95_TVE_percent,worst_bus_TVE_percent,NLL,NEES_like,coverage50,coverage90,coverage95
TEST,M1-NETWORK_m0p0_s211_EC,M1_NETWORK,0.0,211,E-C,R0_FROZEN_B2,NA,0,0,4.1379125285230415e-06,0.00041379125285230414,0.00018568173425163932,5.329351032860663e-06,6.260091664315296e-06,0.0015130728823533242,0.0018252316652381294,,,,,
TEST,M1-NETWORK_m0p0_s211_EC,M1_NETWORK,0.0,211,E-C,R1_ORACLE_RECENTERED,NA,0,0,6.429043289258604e-08,6.429043289258604e-06,1.2453392629457916e-05,1.7100735379796666e-07,2.777970053063478e-07,4.6096094790537745e-05,9.190451002532485e-05,,,,,
TEST,M1-NETWORK_m0p0_s211_EC,M1_NETWORK,0.0,211,E-C,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,4.094205212584537e-06,0.0004094205212584537,0.0001957276959026617,5.265760438176083e-06,6.302164177647565e-06,0.001494089329028541,0.0019460345095479881,-11.22253378810002,7.692625643576772e-06,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s211_EC,M1_NETWORK,0.0,211,E-C,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,4.1379125285230415e-06,0.00041379125285230414,0.00018568173425163932,5.329351032860663e-06,6.260091664315296e-06,0.0015130728823533242,0.0018252316652381294,-5.580473858816627,5.80468637740338e-08,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s212_ED,M1_NETWORK,0.0,212,E-D,R0_FROZEN_B2,NA,0,0,0.00038540195726037785,0.038540195726037785,0.028847015686405797,0.00017130136002382575,0.0005347555993679594,0.14986629634939813,0.15430289385454343,,,,,
TEST,M1-NETWORK_m0p0_s212_ED,M1_NETWORK,0.0,212,E-D,R1_ORACLE_RECENTERED,NA,0,0,7.659122846814824e-06,0.0007659122846814824,0.0009088968387893574,1.796461253903945e-05,2.4050813101582584e-05,0.002194211951471069,0.0071190649468543775,,,,,
TEST,M1-NETWORK_m0p0_s212_ED,M1_NETWORK,0.0,212,E-D,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,0.0003682138170246526,0.03682138170246526,0.02799658726699789,0.0001602563138106561,0.0005169412269018151,0.13065672450856095,0.17321834304780837,-11.191820371224138,0.06143452637740586,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s212_ED,M1_NETWORK,0.0,212,E-D,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,0.00038540195726037785,0.038540195726037785,0.028847015686405797,0.00017130136002382575,0.0005347555993679594,0.14986629634939813,0.15430289385454343,-5.580253158760048,0.0004414581600202962,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s213_EA,M1_NETWORK,0.0,213,E-A,R0_FROZEN_B2,NA,0,0,0.0006708143438279742,0.06708143438279741,0.04969252686330731,0.0003244435905132625,0.0009307945884523216,0.2559003255771959,0.28006798699111646,,,,,
TEST,M1-NETWORK_m0p0_s213_EA,M1_NETWORK,0.0,213,E-A,R1_ORACLE_RECENTERED,NA,0,0,3.813887752223567e-05,0.003813887752223567,0.005058236135531301,0.00010368959208783504,0.0001366428914447735,0.008931455264354403,0.038780528057058374,,,,,
TEST,M1-NETWORK_m0p0_s213_EA,M1_NETWORK,0.0,213,E-A,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,0.0006368329111499888,0.06368329111499889,0.049179295272982614,0.0002707287397104084,0.0009046163355668556,0.22439934989584592,0.3168331740595054,-11.126946366949188,0.19118253492730272,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s213_EA,M1_NETWORK,0.0,213,E-A,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,0.000693282774834751,0.0693282774834751,0.05228499577051386,0.0003696431124879858,0.000990471774995653,0.2559003255771959,0.30837079581262705,-7.231862271516547,0.11958053410856662,0.9854661467564694,0.9985820630981921,0.9996455157745481
TEST,M1-NETWORK_m0p0_s214_EB,M1_NETWORK,0.0,214,E-B,R0_FROZEN_B2,NA,0,0,1.855714072793538e-06,0.0001855714072793538,0.0003423728057439612,5.883204951618087e-06,8.416927207061174e-06,0.00033210823306266976,0.002252786869746215,,,,,
TEST,M1-NETWORK_m0p0_s214_EB,M1_NETWORK,0.0,214,E-B,R1_ORACLE_RECENTERED,NA,0,0,1.855714072793538e-06,0.0001855714072793538,0.0003423728057439612,5.883204951618087e-06,8.416927207061174e-06,0.00033210823306266976,0.002252786869746215,,,,,
TEST,M1-NETWORK_m0p0_s214_EB,M1_NETWORK,0.0,214,E-B,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,3.12034252131549e-05,0.0031203425213154902,0.0027756255511010943,5.10305583904156e-05,7.070615149281737e-05,0.011362668206746081,0.017860061959885324,-11.222068274677858,0.0009387194699644059,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s214_EB,M1_NETWORK,0.0,214,E-B,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,1.855714072793538e-06,0.0001855714072793538,0.0003423728057439612,5.883204951618087e-06,8.416927207061174e-06,0.00033210823306266976,0.002252786869746215,-5.580473810213417,1.5525328436166008e-07,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s215_EC,M1_NETWORK,0.0,215,E-C,R0_FROZEN_B2,NA,0,0,4.857521942115623e-06,0.0004857521942115623,0.00021797612850381784,6.256183873921492e-06,7.348808752245943e-06,0.001776224811268981,0.002142739602717054,,,,,
TEST,M1-NETWORK_m0p0_s215_EC,M1_NETWORK,0.0,215,E-C,R1_ORACLE_RECENTERED,NA,0,0,7.535065573679929e-08,7.535065573679929e-06,1.462004321757972e-05,2.0025436975555787e-07,3.258175515733516e-07,5.40049605440494e-05,0.00010771872347544081,,,,,
TEST,M1-NETWORK_m0p0_s215_EC,M1_NETWORK,0.0,215,E-C,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,4.806249725382204e-06,0.0004806249725382204,0.00022976928828629344,6.181594820020712e-06,7.3982506612983864e-06,0.0017539281461303854,0.002284527291783453,-11.222532333861757,1.0601102168821516e-05,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s215_EC,M1_NETWORK,0.0,215,E-C,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,4.857521942115623e-06,0.0004857521942115623,0.00021797612850381784,6.256183873921492e-06,7.348808752245943e-06,0.001776224811268981,0.002142739602717054,-5.580473847843795,7.999252779550739e-08,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s216_ED,M1_NETWORK,0.0,216,E-D,R0_FROZEN_B2,NA,0,0,0.00043339845665039777,0.043339845665039775,0.03241828543187305,0.00019349269705761367,0.0006012622721825637,0.16833860716245974,0.17398548775472517,,,,,
TEST,M1-NETWORK_m0p0_s216_ED,M1_NETWORK,0.0,216,E-D,R1_ORACLE_RECENTERED,NA,0,0,9.756791938096434e-06,0.0009756791938096435,0.001137922896211606,2.346012719389667e-05,3.0841964399630174e-05,0.002681365339137706,0.009073422288268828,,,,,
TEST,M1-NETWORK_m0p0_s216_ED,M1_NETWORK,0.0,216,E-D,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,0.0004139831294450835,0.041398312944508346,0.031489695287801385,0.00017940163391171765,0.0005811631287135714,0.1468429317737496,0.1950735273364623,-11.183658702557825,0.07775786371003074,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s216_ED,M1_NETWORK,0.0,216,E-D,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,0.00043339845665039777,0.043339845665039775,0.03241828543187305,0.00019349269705761367,0.0006012622721825637,0.16833860716245974,0.17398548775472517,-5.580194762630652,0.0005582504188132913,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s217_EA,M1_NETWORK,0.0,217,E-A,R0_FROZEN_B2,NA,0,0,0.0007662790402258206,0.07662790402258206,0.05662890171618006,0.000379443519331958,0.001064080323420122,0.29132452971437256,0.3226633470858986,,,,,
TEST,M1-NETWORK_m0p0_s217_EA,M1_NETWORK,0.0,217,E-A,R1_ORACLE_RECENTERED,NA,0,0,5.0022083990083765e-05,0.005002208399008377,0.006654381789199301,0.00013630379509951834,0.00017968801227570137,0.01168683152151714,0.05094112596232611,,,,,
TEST,M1-NETWORK_m0p0_s217_EA,M1_NETWORK,0.0,217,E-A,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,0.0007265463046208501,0.07265463046208502,0.05622087594449374,0.00030640240458572777,0.001033155673214968,0.25642645920479984,0.3635412308999727,-11.097581917654507,0.24991143351666673,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s217_EA,M1_NETWORK,0.0,217,E-A,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,0.000774246711164138,0.0774246711164138,0.05907467010037667,0.0003848953810036468,0.0011069186384432379,0.29042681555416083,0.35655426817671065,-7.4727135524169235,0.14186137895623227,0.9858206309819213,0.9985820630981921,0.9996455157745481
TEST,M1-NETWORK_m0p0_s218_EB,M1_NETWORK,0.0,218,E-B,R0_FROZEN_B2,NA,0,0,2.405663106547451e-06,0.0002405663106547451,0.00044333071979860546,7.631482902412573e-06,1.0908362996813117e-05,0.00043314948649513473,0.00291225132477692,,,,,
TEST,M1-NETWORK_m0p0_s218_EB,M1_NETWORK,0.0,218,E-B,R1_ORACLE_RECENTERED,NA,0,0,2.405663106547451e-06,0.0002405663106547451,0.00044333071979860546,7.631482902412573e-06,1.0908362996813117e-05,0.00043314948649513473,0.00291225132477692,,,,,
TEST,M1-NETWORK_m0p0_s218_EB,M1_NETWORK,0.0,218,E-B,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,3.550709118261769e-05,0.003550709118261769,0.003129921227240515,5.859050306682324e-05,8.04931526780446e-05,0.012933413575449474,0.02035437438640627,-11.221927991058026,0.001219286709628146,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s218_EB,M1_NETWORK,0.0,218,E-B,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,2.405663106547451e-06,0.0002405663106547451,0.00044333071979860546,7.631482902412573e-06,1.0908362996813117e-05,0.00043314948649513473,0.00291225132477692,-5.580473757515937,2.606482434441382e-07,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s219_EC,M1_NETWORK,0.0,219,E-C,R0_FROZEN_B2,NA,0,0,5.577123257904518e-06,0.0005577123257904518,0.00025027110210349833,7.183013644748997e-06,8.437527682580627e-06,0.0020393803674039037,0.002460270120967089,,,,,
TEST,M1-NETWORK_m0p0_s219_EC,M1_NETWORK,0.0,219,E-C,R1_ORACLE_RECENTERED,NA,0,0,8.637569683277392e-08,8.637569683277391e-06,1.678687447717207e-05,2.2935576545563745e-07,3.7375153534569e-07,6.186074891422403e-05,0.00012348262893062243,,,,,
TEST,M1-NETWORK_m0p0_s219_EC,M1_NETWORK,0.0,219,E-C,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,5.518296883649751e-06,0.0005518296883649751,0.00026381148309788887,7.0974440956917815e-06,8.494354500480337e-06,0.002013766485613614,0.0026230354433597358,-11.222530646918816,1.397498804949117e-05,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s219_EC,M1_NETWORK,0.0,219,E-C,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,5.577123257904518e-06,0.0005577123257904518,0.00025027110210349833,7.183013644748997e-06,8.437527682580627e-06,0.0020393803674039037,0.002460270120967089,-5.58047383511536,1.0544939757611899e-07,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s220_ED,M1_NETWORK,0.0,220,E-D,R0_FROZEN_B2,NA,0,0,0.0004813631426908849,0.04813631426908849,0.03598208119137318,0.00021592539897338163,0.0006677211914855641,0.18666358609863765,0.19375970297238204,,,,,
TEST,M1-NETWORK_m0p0_s220_ED,M1_NETWORK,0.0,220,E-D,R1_ORACLE_RECENTERED,NA,0,0,1.2117196222136397e-05,0.0012117196222136398,0.0013953846757962527,2.9679509604894516e-05,3.8518412498416676e-05,0.0032548125795771707,0.011279458087438852,,,,,
TEST,M1-NETWORK_m0p0_s220_ED,M1_NETWORK,0.0,220,E-D,R2A_ONLINE_OFFSET_ONLY,ALWAYS_RECENTER,60,1,0.00045969815553971845,0.045969815553971845,0.03498148744855053,0.00019839889609074243,0.0006453153285188847,0.1631514263384644,0.21697701347388404,-11.174535114711444,0.09600503940279359,1.0,1.0,1.0
TEST,M1-NETWORK_m0p0_s220_ED,M1_NETWORK,0.0,220,E-D,R2A_ONLINE_OFFSET_ONLY,ADAPTIVE_RECENTER,60,1,0.0004813631426908849,0.04813631426908849,0.03598208119137318,0.00021592539897338163,0.0006677211914855641,0.18666358609863765,0.19375970297238204,-5.580129535181891,0.0006887053163364622,1.0,1.0,1.0
TEST,M1-NETWORK_m0p5_s201_EA,M1_NETWORK,0.5,201,E-A,R0_FROZEN_B2,NA,0,0,0.000563917471081229,0.0563917471081229,0.055689710003972756,0.0004697462923612168,0.0011062023486814794,0.26769642459569837,0.44897918411437143,,,,,
