case_id,family,m,seed,TVE_fraction_N0,TVE_fraction_O1,TVE_fraction_O2,angle_RMSE_deg_N0,angle_RMSE_deg_O1,angle_RMSE_deg_O2,Excess_N0_TVE_fraction,Excess_O1_TVE_fraction,Excess_O2_TVE_fraction,Recovery_Recenter_TVE_fraction,Recovery_Relinearize_TVE_fraction,Excess_N0_angle_RMSE_deg,Excess_O1_angle_RMSE_deg,Excess_O2_angle_RMSE_deg,Recovery_Recenter_angle_RMSE_deg,Recovery_Relinearize_angle_RMSE_deg
M4-AVR_m1p0_s1,M4_AVR,1.0,1,5.0477018093191215e-08,5.0477018093191215e-08,5.0688456146610514e-08,6.81360018101591e-06,6.81360018101591e-06,6.817623247437976e-06,-3.801793254452039e-09,-3.801793254452039e-09,-3.5903552010327405e-09,,,-5.115167491469032e-07,-5.115167491469032e-07,-5.07493682724837e-07,,
M4-AVR_m1p0_s2,M4_AVR,1.0,2,5.8014229454942994e-08,5.8014229454942994e-08,5.825720766439963e-08,7.835206702894508e-06,7.835206702894508e-06,7.839833410926951e-06,3.735418107299739e-09,3.735418107299739e-09,3.978396316756366e-09,0.0,-0.0650471252419642,5.100897727316952e-07,5.100897727316952e-07,5.14716480764138e-07,0.0,-0.0090703799209017
M4-AVR_m1p5_s1,M4_AVR,1.5,1,5.046323846017532e-08,5.046323846017532e-08,5.07682598242622e-08,6.813303273701505e-06,6.813303273701505e-06,6.819163366535011e-06,-3.815572887467933e-09,-3.815572887467933e-09,-3.5105515233810526e-09,,,-5.11813656461308e-07,-5.11813656461308e-07,-5.059535636278023e-07,,
M4-AVR_m1p5_s2,M4_AVR,1.5,2,5.79983971413584e-08,5.79983971413584e-08,5.834891949725949e-08,7.834865845164184e-06,7.834865845164184e-06,7.841605220645474e-06,3.7195857937151478e-09,3.7195857937151478e-09,4.070108149616231e-09,0.0,-0.0942369326427015,5.097489150013706e-07,5.097489150013706e-07,5.164882904826611e-07,0.0,-0.0132209707229538
M5-LOAD-MODEL_m0p5_s1,M5_LOAD_MODEL,0.5,1,4.9871947925152756e-08,4.9871947925152756e-08,5.052189922021759e-08,6.605166178010662e-06,6.605166178010662e-06,6.812513436766292e-06,-4.406863422490505e-09,-4.406863422490505e-09,-3.7569121274256615e-09,,,-7.199507521521508e-07,-7.199507521521508e-07,-5.126034933965214e-07,,
M5-LOAD-MODEL_m0p5_s2,M5_LOAD_MODEL,0.5,2,5.732220918102619e-08,5.732220918102619e-08,5.806566249077469e-08,7.595542721483383e-06,7.595542721483383e-06,7.833917551708025e-06,3.043397833382939e-09,3.043397833382939e-09,3.7868511431314305e-09,0.0,-0.2442839715509996,2.704257913205699e-07,2.704257913205699e-07,5.08800621545212e-07,0.0,-0.8814796438630601
M5-LOAD-MODEL_m1p0_s1,M5_LOAD_MODEL,1.0,1,4.993307973480218e-08,4.993307973480218e-08,5.0535783542173915e-08,6.438324001986995e-06,6.438324001986995e-06,6.810739038043884e-06,-4.345731612841084e-09,-4.345731612841084e-09,-3.743027805469346e-09,,,-8.867929281758181e-07,-8.867929281758181e-07,-5.143778921189289e-07,,
M5-LOAD-MODEL_m1p0_s2,M5_LOAD_MODEL,1.0,2,5.7395744012439874e-08,5.7395744012439874e-08,5.8081470613407635e-08,7.403673156617729e-06,7.403673156617729e-06,7.831838257854135e-06,3.116932664796613e-09,3.116932664796613e-09,3.802659265764374e-09,0.0,-0.2200004538797138,7.855622645491579e-08,7.855622645491579e-08,5.067213276913217e-07,0.0,-5.450428572738716
M5-LOAD-MODEL_m1p5_s1,M5_LOAD_MODEL,1.5,1,5.0607125147107495e-08,5.0607125147107495e-08,5.054956195467228e-08,6.317244300605701e-06,6.317244300605701e-06,6.80894185750969e-06,-3.671686200535765e-09,-3.671686200535765e-09,-3.7292493929709806e-09,,,-1.007872629557112e-06,-1.007872629557112e-06,-5.16175072653123e-07,,
M5-LOAD-MODEL_m1p5_s2,M5_LOAD_MODEL,1.5,2,5.817361535187796e-08,5.817361535187796e-08,5.809715349230693e-08,7.264389582633036e-06,7.264389582633036e-06,7.829731431010878e-06,3.894804004234701e-09,3.894804004234701e-09,3.818342144663671e-09,0.0,0.0196317605424809,-6.072734752977707e-08,-6.072734752977707e-08,5.046145008480645e-07,,
